10,global,20,0.2698250809565912,BUL,CHI
10,local,20,0.35152346612066077,BUL,CHI
11,global,20,0.280429377487888,BUL,CHI
11,local,20,0.3554915920386869,BUL,CHI
12,global,20,0.27079015898209696,BUL,CHI
12,local,20,0.41349314849259455,BUL,CHI
13,global,20,0.2606233384031752,BUL,CHI
13,local,20,0.29296348013374707,BUL,CHI
14,global,20,0.31854070031632165,BUL,CHI
14,local,20,0.41365814400093637,BUL,CHI
15,global,20,0.2721009951561058,BUL,CHI
15,local,20,0.32059957969897085,BUL,CHI
16,global,20,0.24288148809629256,BUL,CHI
16,local,20,0.23984881279460948,BUL,CHI
17,global,20,0.2534944309840075,BUL,CHI
17,local,20,0.28979537748505,BUL,CHI
18,global,20,0.262622293175673,BUL,CHI
18,local,20,0.23696908452313145,BUL,CHI
19,global,20,0.24734393141977473,BUL,CHI
19,local,20,0.22385601770074964,BUL,CHI
20,global,20,0.254184484850804,BUL,CHI
20,local,20,0.2800941565966714,BUL,CHI
1,global,20,0.232879240681249,ARA,DUT
1,local,20,0.27762260613577805,ARA,DUT
2,global,20,0.2769991491577326,ARA,DUT
2,local,20,0.3827088561373905,ARA,DUT
3,global,20,0.24348215179544952,ARA,DUT
3,local,20,0.27764579131846834,ARA,DUT
4,global,20,0.2667907643641476,ARA,DUT
4,local,20,0.34074411726854026,ARA,DUT
5,global,20,0.26180010585553354,ARA,DUT
5,local,20,0.3321297129908103,ARA,DUT
6,global,20,0.24156648449900286,ARA,DUT
6,local,20,0.3399285651510856,ARA,DUT
7,global,20,0.27515275841378006,ARA,DUT
7,local,20,0.3359642479830804,ARA,DUT
8,global,20,0.22265745155320749,ARA,DUT
8,local,20,0.22672107584502801,ARA,DUT
9,global,20,0.2794157657015507,ARA,DUT
9,local,20,0.38450872777076417,ARA,DUT
10,global,20,0.2806865417154599,ARA,DUT
10,local,20,0.34198982178033205,ARA,DUT
11,global,20,0.26760638343355603,ARA,DUT
11,local,20,0.3271162233883891,ARA,DUT
12,global,20,0.2861457904645066,ARA,DUT
12,local,20,0.3399703254591473,ARA,DUT
13,global,20,0.2767872314344241,ARA,DUT
13,local,20,0.5056676318028798,ARA,DUT
14,global,20,0.26941224987289636,ARA,DUT
14,local,20,0.38822193957371154,ARA,DUT
15,global,20,0.2634696854550415,ARA,DUT
15,local,20,0.34657030890066787,ARA,DUT
16,global,20,0.23764929988998182,ARA,DUT
16,local,20,0.2752114850721956,ARA,DUT
17,global,20,0.23204858548670237,ARA,DUT
17,local,20,0.22298943138674823,ARA,DUT
18,global,20,0.24433800323545818,ARA,DUT
18,local,20,0.26837072429527165,ARA,DUT
19,global,20,0.2425765364230998,ARA,DUT
19,local,20,0.24815874967074353,ARA,DUT
20,global,20,0.14204769594949898,ARA,DUT
20,local,20,0.244303076326599,ARA,DUT
1,global,20,0.23096618381956385,BEN,DUT
1,local,20,0.24702514482182708,BEN,DUT
2,global,20,0.2520594433981001,BEN,DUT
2,local,20,0.26983526617020126,BEN,DUT
3,global,20,0.2292656757745593,BEN,DUT
3,local,20,0.23272317332585746,BEN,DUT
4,global,20,0.2462832494570913,BEN,DUT
4,local,20,0.25908668658442985,BEN,DUT
5,global,20,0.2632280171803132,BEN,DUT
5,local,20,0.3323441801549807,BEN,DUT
6,global,20,0.2499619155077205,BEN,DUT
6,local,20,0.3135560852370218,BEN,DUT
7,global,20,0.25443632321291443,BEN,DUT
7,local,20,0.27309833054782895,BEN,DUT
8,global,20,0.24021540570154057,BEN,DUT
8,local,20,0.2594071444399584,BEN,DUT
9,global,20,0.24851057400643384,BEN,DUT
9,local,20,0.32867925199915665,BEN,DUT
10,global,20,0.23606420673509235,BEN,DUT
10,local,20,0.2723397463652835,BEN,DUT
11,global,20,0.25006587728752405,BEN,DUT
11,local,20,0.3093825513105364,BEN,DUT
12,global,20,0.2595643676806727,BEN,DUT
12,local,20,0.3606396560632019,BEN,DUT
13,global,20,0.26610313934635715,BEN,DUT
13,local,20,0.38807070423148987,BEN,DUT
14,global,20,0.2589128717848507,BEN,DUT
14,local,20,0.3887010771846615,BEN,DUT
15,global,20,0.23742974708204398,BEN,DUT
